date,store_nbr,transactions,id,family,sales
2015-07-24,21,3220,1661269,HOME AND KITCHEN II,106.0
2015-07-25,21,3109,1663051,HOME AND KITCHEN II,80.0
2015-07-26,21,3354,1664833,HOME AND KITCHEN II,71.0
2015-07-27,21,2143,1666615,HOME AND KITCHEN II,51.0
2015-07-28,21,2045,1668397,HOME AND KITCHEN II,70.0
2015-07-29,21,2225,1670179,HOME AND KITCHEN II,50.0
2015-07-30,21,1731,1671961,HOME AND KITCHEN II,48.0
2015-07-31,21,2003,1673743,HOME AND KITCHEN II,64.0
2015-08-01,21,2645,1675525,HOME AND KITCHEN II,115.0
2015-08-02,21,2856,1677307,HOME AND KITCHEN II,118.0
2015-08-03,21,1935,1679089,HOME AND KITCHEN II,44.0
2015-08-04,21,1801,1680871,HOME AND KITCHEN II,46.0
2015-08-05,21,1680,1682653,HOME AND KITCHEN II,52.0
2015-08-06,21,1526,1684435,HOME AND KITCHEN II,42.0
2015-08-07,21,1564,1686217,HOME AND KITCHEN II,44.0
2015-08-08,21,2191,1687999,HOME AND KITCHEN II,75.0
2015-08-09,21,2331,1689781,HOME AND KITCHEN II,95.0
2015-08-10,21,2049,1691563,HOME AND KITCHEN II,87.0
2015-08-11,21,1480,1693345,HOME AND KITCHEN II,48.0
2015-08-12,21,1445,1695127,HOME AND KITCHEN II,38.0
2015-08-13,21,1358,1696909,HOME AND KITCHEN II,43.0
2015-08-14,21,1431,1698691,HOME AND KITCHEN II,30.0
2015-08-15,21,3018,1700473,HOME AND KITCHEN II,56.0
2015-08-16,21,2297,1702255,HOME AND KITCHEN II,89.0
2015-08-17,21,1442,1704037,HOME AND KITCHEN II,28.0
2015-08-18,21,1354,1705819,HOME AND KITCHEN II,24.0
2015-08-19,21,1245,1707601,HOME AND KITCHEN II,30.0
2015-08-20,21,1239,1709383,HOME AND KITCHEN II,39.0
2015-08-21,21,1243,1711165,HOME AND KITCHEN II,10.0
2015-08-22,21,1803,1712947,HOME AND KITCHEN II,70.0
2015-08-23,21,2077,1714729,HOME AND KITCHEN II,61.0
2015-08-24,21,1389,1716511,HOME AND KITCHEN II,44.0
2015-08-25,21,1173,1718293,HOME AND KITCHEN II,32.0
2015-08-26,21,1116,1720075,HOME AND KITCHEN II,20.0
2015-08-27,21,1102,1721857,HOME AND KITCHEN II,28.0
