date,store_nbr,transactions,id,family,sales
2013-01-02,41,915,2946,DELI,206.435
2013-01-03,41,809,4728,DELI,149.618
2013-01-04,41,835,6510,DELI,112.590004
2013-01-05,41,1021,8292,DELI,161.583
2013-01-06,41,1142,10074,DELI,228.133
2013-01-07,41,744,11856,DELI,106.425
2013-01-08,41,764,13638,DELI,112.373
2013-01-09,41,749,15420,DELI,92.121
2013-01-10,41,649,17202,DELI,95.514
2013-01-11,41,686,18984,DELI,105.263
2013-01-12,41,861,20766,DELI,108.956
2013-01-13,41,1120,22548,DELI,222.36101
2013-01-14,41,739,24330,DELI,116.455
2013-01-15,41,693,26112,DELI,116.18
2013-01-16,41,736,27894,DELI,119.347
2013-01-17,41,728,29676,DELI,122.483
2013-01-18,41,727,31458,DELI,106.361
2013-01-19,41,952,33240,DELI,155.752
2013-01-20,41,1020,35022,DELI,201.987
2013-01-21,41,715,36804,DELI,103.26
2013-01-22,41,646,38586,DELI,91.503
2013-01-23,41,722,40368,DELI,97.227
2013-01-24,41,693,42150,DELI,83.272
2013-01-25,41,750,43932,DELI,95.511
2013-01-26,41,978,45714,DELI,130.689
2013-01-27,41,1126,47496,DELI,199.621
2013-01-28,41,740,49278,DELI,106.813
2013-01-29,41,680,51060,DELI,94.458
2013-01-30,41,693,52842,DELI,106.518
2013-01-31,41,728,54624,DELI,108.442
2013-02-01,41,751,56406,DELI,115.581
2013-02-02,41,1058,58188,DELI,180.569
2013-02-03,41,1204,59970,DELI,214.088
2013-02-04,41,826,61752,DELI,101.35
2013-02-05,41,763,63534,DELI,107.738
2013-02-06,41,760,65316,DELI,96.712
2013-02-07,41,736,67098,DELI,91.077
2013-02-08,41,825,68880,DELI,117.332
2013-02-09,41,1094,70662,DELI,194.724
2013-02-10,41,855,72444,DELI,132.615
2013-02-11,41,738,74226,DELI,99.155
2013-02-12,41,759,76008,DELI,111.728
2013-02-13,41,888,77790,DELI,130.007
2013-02-14,41,1028,79572,DELI,86.141
2013-02-15,41,768,81354,DELI,126.762
2013-02-16,41,1050,83136,DELI,150.648
2013-02-17,41,1033,84918,DELI,181.13
2013-02-18,41,777,86700,DELI,131.664
2013-02-19,41,724,88482,DELI,89.677
2013-02-20,41,795,90264,DELI,109.767
2013-02-21,41,726,92046,DELI,88.312
2013-02-22,41,765,93828,DELI,133.249
2013-02-23,41,880,95610,DELI,136.229
2013-02-24,41,1032,97392,DELI,182.717
2013-02-25,41,780,99174,DELI,106.013
2013-02-26,41,679,100956,DELI,101.304
2013-02-27,41,727,102738,DELI,93.154
2013-02-28,41,731,104520,DELI,102.091
2013-03-01,41,766,106302,DELI,116.58
2013-03-02,41,1085,108084,DELI,184.45801
2013-03-03,41,1222,109866,DELI,215.598
2013-03-04,41,786,111648,DELI,159.239
2013-03-05,41,737,113430,DELI,105.541
2013-03-06,41,820,115212,DELI,111.61
2013-03-07,41,775,116994,DELI,112.241
2013-03-08,41,827,118776,DELI,118.199
2013-03-09,41,1007,120558,DELI,171.936
2013-03-10,41,1052,122340,DELI,181.533
2013-03-11,41,776,124122,DELI,148.97
2013-03-12,41,705,125904,DELI,109.019
2013-03-13,41,835,127686,DELI,100.599
2013-03-14,41,702,129468,DELI,105.699
2013-03-15,41,810,131250,DELI,123.139
2013-03-16,41,949,133032,DELI,127.064
2013-03-17,41,1159,134814,DELI,242.524
2013-03-18,41,766,136596,DELI,129.345
2013-03-19,41,817,138378,DELI,129.993
2013-03-20,41,824,140160,DELI,123.78
2013-03-21,41,657,141942,DELI,89.246
2013-03-22,41,758,143724,DELI,95.421
2013-03-23,41,974,145506,DELI,168.758
2013-03-24,41,985,147288,DELI,177.32
2013-03-25,41,816,149070,DELI,151.464
2013-03-26,41,735,150852,DELI,84.997
2013-03-27,41,742,152634,DELI,112.973
2013-03-28,41,924,154416,DELI,124.781
2013-03-29,41,881,156198,DELI,125.31
2013-03-30,41,1019,157980,DELI,151.593
2013-03-31,41,1009,159762,DELI,209.522
2013-04-01,41,904,161544,DELI,169.544
2013-04-02,41,865,163326,DELI,149.584
2013-04-03,41,874,165108,DELI,128.852
2013-04-04,41,793,166890,DELI,129.399
2013-04-05,41,776,168672,DELI,131.701
2013-04-06,41,1006,170454,DELI,169.226
2013-04-07,41,1113,172236,DELI,220.838
2013-04-08,41,765,174018,DELI,135.203
2013-04-09,41,792,175800,DELI,112.25
2013-04-10,41,775,177582,DELI,128.273
2013-04-11,41,765,179364,DELI,113.036
2013-04-12,41,741,181146,DELI,120.757
2013-04-13,41,982,182928,DELI,124.782
2013-04-14,41,1118,184710,DELI,209.198
2013-04-15,41,809,186492,DELI,119.303
2013-04-16,41,782,188274,DELI,126.803
2013-04-17,41,816,190056,DELI,127.275
2013-04-18,41,737,191838,DELI,110.703
2013-04-19,41,713,193620,DELI,92.685
2013-04-20,41,982,195402,DELI,135.149
2013-04-21,41,1093,197184,DELI,193.332
2013-04-22,41,762,198966,DELI,132.695
2013-04-23,41,835,200748,DELI,142.548
2013-04-24,41,757,202530,DELI,125.406
2013-04-25,41,686,204312,DELI,112.242
2013-04-26,41,786,206094,DELI,114.386
2013-04-27,41,988,207876,DELI,151.23601
2013-04-28,41,1125,209658,DELI,208.934
2013-04-29,41,744,211440,DELI,111.83
2013-04-30,41,794,213222,DELI,151.875
2013-05-01,41,1136,215004,DELI,230.009
2013-05-02,41,765,216786,DELI,156.05
2013-05-03,41,779,218568,DELI,114.352
2013-05-04,41,995,220350,DELI,237.72299
2013-05-05,41,1369,222132,DELI,326.944
2013-05-06,41,817,223914,DELI,196.707
2013-05-07,41,764,225696,DELI,109.718
2013-05-08,41,812,227478,DELI,142.017
2013-05-09,41,795,229260,DELI,103.686
2013-05-10,41,853,231042,DELI,147.235
2013-05-11,41,1386,232824,DELI,227.592
2013-05-12,41,1324,234606,DELI,227.257
2013-05-13,41,778,236388,DELI,140.951
2013-05-14,41,777,238170,DELI,120.965
2013-05-15,41,738,239952,DELI,124.078
2013-05-16,41,695,241734,DELI,122.952
2013-05-17,41,772,243516,DELI,105.823
2013-05-18,41,1013,245298,DELI,232.277
2013-05-19,41,1142,247080,DELI,281.062
2013-05-20,41,756,248862,DELI,110.321
2013-05-21,41,758,250644,DELI,136.463
2013-05-22,41,754,252426,DELI,124.341
2013-05-23,41,678,254208,DELI,92.015
2013-05-24,41,940,255990,DELI,188.335
2013-05-25,41,1024,257772,DELI,207.975
2013-05-26,41,1155,259554,DELI,317.061
2013-05-27,41,722,261336,DELI,133.373
2013-05-28,41,775,263118,DELI,147.915
2013-05-29,41,805,264900,DELI,112.135
2013-05-30,41,817,266682,DELI,167.473
2013-05-31,41,799,268464,DELI,128.09
2013-06-01,41,1077,270246,DELI,224.427
2013-06-02,41,1367,272028,DELI,362.139
2013-06-03,41,853,273810,DELI,171.039
2013-06-04,41,734,275592,DELI,127.792
2013-06-05,41,820,277374,DELI,138.4
2013-06-06,41,760,279156,DELI,132.24
2013-06-07,41,753,280938,DELI,124.206
2013-06-08,41,1029,282720,DELI,173.573
2013-06-09,41,1228,284502,DELI,294.935
2013-06-10,41,714,286284,DELI,137.14
2013-06-11,41,712,288066,DELI,98.008
2013-06-12,41,738,289848,DELI,138.953
2013-06-13,41,710,291630,DELI,111.36
2013-06-14,41,752,293412,DELI,122.344
2013-06-15,41,1187,295194,DELI,196.464
2013-06-16,41,1157,296976,DELI,222.832
2013-06-17,41,773,298758,DELI,164.615
2013-06-18,41,784,300540,DELI,139.904
2013-06-19,41,745,302322,DELI,120.547
